#Längen- und Breitenangaben sind im CH1903 7 Parameter (Switzerland) Datum
#
#Jeder Datensatz enthält die folgenden Felder: 
#
# Wegpunktname
# Wegpunktkommentar
# Wegpunktbeschreibung
#    Schweizer Gitter Ostabweichung
#    Schweizer Gitter Nordabweichung
# Geogr. Breite in Grad und Dezimalstellen (südl. Hemisphäre neg. Vorzeichen)
# Geogr. Länge in Grad und Dezimalstellen (neg. Vorzeichen: westl. Greenwich)
# UTM Rechtswerte
# UTM Hochwerte
#   UTM Zone
# Höhe in Metern
# Datum vor Ort (yyyymmdd)
# Ortszeit (hhmmss)
# Datum UTC (yyymmdd)
# Uhrzeit UTC (hhmmss)
ZH14-10 retake coord nathalie,,,695763,232496,47.2377895,8.7045098,477637.77,5231099.05,32T,-10000000.0,20210423,091100,20210423,071100
ZH14-11 retake nathalie coord,,,695778,232492,47.2377514,8.7047070,477652.68,5231094.76,32T,-10000000.0,20210423,091322,20210423,071322
ZH21-01,,,686181,239036,47.2979398,8.5792139,468191.64,5237826.40,32T,411.7,20210422,102249,20210422,082249
ZH21-02,,,685752,238872,47.2965146,8.5735167,467760.11,5237670.37,32T,-10000000.0,20210422,105057,20210422,085057
ZH21-03,132m,,686359,239037,47.2979237,8.5815638,468369.27,5237823.66,32T,408.6,20210422,135419,20210422,115419
ZH21-04,32.2m,,685808,238810,47.2959502,8.5742370,467814.22,5237607.35,32T,-10000000.0,20210422,141318,20210422,121318
ZH21-05,24.5m,,695744,232499,47.2378194,8.7042553,477618.52,5231102.45,32T,-10000000.0,20210423,100009,20210423,080009
ZH21-06,24.6,,695766,232506,47.2378823,8.7045482,477640.72,5231109.35,32T,-10000000.0,20210423,102148,20210423,082148
ZH21-07,24.5m,,695774,232494,47.2377681,8.7046533,477648.62,5231096.63,32T,-10000000.0,20210423,103732,20210423,083732
ZH21-08,23m,,695798,232499,47.2378123,8.7049772,477673.15,5231101.45,32T,-10000000.0,20210423,141337,20210423,121337
ZH21-09,,,695797,232487,47.2377025,8.7049556,477671.48,5231089.25,32T,-10000000.0,20210423,144651,20210423,124651
ZH21-10,139m,,686869,238437,47.2924611,8.5881971,468867.50,5237213.98,32T,-10000000.0,20210429,100325,20210429,080325
ZH21-11,138m,,687140,238073,47.2891456,8.5917053,469130.79,5236844.17,32T,-10000000.0,20210429,102821,20210429,082821
ZH21-12,138m,,687261,237799,47.2866636,8.5932595,469246.85,5236567.76,32T,-10000000.0,20210429,134412,20210429,114412
ZH21-13,131m,Plume of massmovement,686772,238042,47.2889165,8.5868380,468762.66,5236820.65,32T,-10000000.0,20210429,142531,20210429,122531
Zh21-14,137m,,687514,238021,47.2886317,8.5966433,469503.83,5236785.13,32T,-10000000.0,20210430,102007,20210430,082007
ZH21-15,127m,,686675,237988,47.2884451,8.5855456,468664.67,5236768.79,32T,-10000000.0,20210430,103208,20210430,083208
ZH21-16,137m,,687822,237061,47.2799536,8.6005247,469792.34,5235819.31,32T,-10000000.0,20210430,135227,20210430,115227
ZH21-A coord nathalie,,,695751,232500,47.2378273,8.7043522,477625.86,5231103.29,32T,-10000000.0,20210423,091410,20210423,071410
ZH21-B coord nathalie,,,695791,232486,47.2376955,8.7048774,477665.56,5231088.50,32T,-10000000.0,20210423,091454,20210423,071454
