Sample,Depth,Date,CH1903_Y,CH1903_X,lat,Long
AW13-16,7.5,20130517,695887,229817,47.21233,8.70442
RH14-2,6.8,20141204,695909,229804,47.21221,8.70471
RH14-6,16.1,20141204,695956,229862,47.21272,8.70534
RH14-7,11.0,20141204,696015,229850,47.21261,8.70612
RH15-3,17.8,20151203,695881,229919,47.21325,8.70437
RH15-4,19.0,20151203,695915,229942,47.21345,8.70482
RH15-7,7.2,20151204,695927,229806,47.21222,8.70495
ZH16-10,14.1,20161221,695907,229848,47.2126,8.7047
ZH16-11,20.4,20161221,695932,229970,47.2137,8.70505
ZH16-12,23.1,20161221,695995,230149,47.2153,8.70592
ZH17-17,18.5,20170406,696119,229673,47.2110,8.70746
ZH17-21,65.1,20170406,693887,232941,47.24122,8.67868
